"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"接口自动化测试框架","JSONPlaceholder 待办 API","","0","0","10","0","0"
"接口自动化测试框架","JSONPlaceholder 评论 API","","0","0","9","0","0"
"","演示用例","预期失败","0","0","2","1","0"
"","演示用例","边界值测试","0","0","9","0","0"
"接口自动化测试框架","JSONPlaceholder 照片 API","","0","0","10","0","0"
"","演示用例","异常断言","0","0","2","0","0"
"","演示用例","跳过测试","0","0","0","2","0"
"接口自动化测试框架","JSONPlaceholder 帖子 API","","0","0","4","0","0"
"","演示用例","真实失败","3","0","3","0","0"
"","演示用例","正常通过","0","0","2","0","0"
"","演示用例","超时模拟","0","0","1","0","0"
