"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 30 19:46:01 CST 2026","Tue Jun 30 19:46:02 CST 2026","283","testcases","test_comments","TestComments","","","使用动态数据创建评论","验证使用随机数据创建评论"
"passed","Tue Jun 30 19:46:08 CST 2026","Tue Jun 30 19:46:09 CST 2026","215","testcases","test_photos","TestPhotos","","","获取不存在的照片（404）","GET /photos/99999 验证返回 404"
"passed","Tue Jun 30 19:46:06 CST 2026","Tue Jun 30 19:46:06 CST 2026","223","testcases","test_photos","TestPhotos","","","按 albumId 过滤照片","GET /photos?albumId=1 验证过滤"
"passed","Tue Jun 30 19:46:09 CST 2026","Tue Jun 30 19:46:10 CST 2026","1744","testcases","test_todos","TestTodos","","","获取所有待办列表","GET /todos 验证返回待办列表"
"passed","Tue Jun 30 19:46:12 CST 2026","Tue Jun 30 19:46:12 CST 2026","281","testcases","test_todos","TestTodos","","","创建待办（数据驱动）","POST /todos 创建待办（参数化）"
"passed","Tue Jun 30 19:46:03 CST 2026","Tue Jun 30 19:46:04 CST 2026","282","testcases","test_login","TestPosts","","","创建帖子（数据驱动）","
        数据驱动测试：用 3 组不同数据执行同一条测试逻辑
        使用 cleanup_posts 自动清理创建的数据
        "
"passed","Tue Jun 30 19:46:02 CST 2026","Tue Jun 30 19:46:03 CST 2026","914","testcases","test_comments","TestComments","","","按 postId 过滤评论","GET /comments?postId=1 验证过滤结果"
"passed","Tue Jun 30 19:46:11 CST 2026","Tue Jun 30 19:46:11 CST 2026","280","testcases","test_todos","TestTodos","","","创建待办（数据驱动）","POST /todos 创建待办（参数化）"
"passed","Tue Jun 30 19:46:04 CST 2026","Tue Jun 30 19:46:05 CST 2026","1208","testcases","test_photos","TestPhotos","","","获取照片列表","GET /photos 验证返回照片列表"
"passed","Tue Jun 30 19:46:08 CST 2026","Tue Jun 30 19:46:08 CST 2026","280","testcases","test_photos","TestPhotos","","","删除照片","DELETE /photos/1 验证删除"
"passed","Tue Jun 30 19:46:10 CST 2026","Tue Jun 30 19:46:11 CST 2026","381","testcases","test_todos","TestTodos","","","获取单条待办","GET /todos/1 验证返回单条待办"
"passed","Tue Jun 30 19:46:11 CST 2026","Tue Jun 30 19:46:12 CST 2026","281","testcases","test_todos","TestTodos","","","创建待办（数据驱动）","POST /todos 创建待办（参数化）"
"passed","Tue Jun 30 19:46:00 CST 2026","Tue Jun 30 19:46:00 CST 2026","280","testcases","test_comments","TestComments","","","创建评论（数据驱动）","POST /comments 创建评论（参数化）"
"passed","Tue Jun 30 19:46:08 CST 2026","Tue Jun 30 19:46:08 CST 2026","421","testcases","test_photos","TestPhotos","","","更新照片标题（PUT）","PUT /photos/1 更新照片标题"
"passed","Tue Jun 30 19:46:12 CST 2026","Tue Jun 30 19:46:13 CST 2026","505","testcases","test_todos","TestTodos","","","更新待办（PUT）","PUT /todos/1 更新待办"
"passed","Tue Jun 30 19:45:57 CST 2026","Tue Jun 30 19:45:59 CST 2026","1242","testcases","test_comments","TestComments","","","获取某篇文章的所有评论","GET /posts/1/comments 验证返回评论列表"
"passed","Tue Jun 30 19:46:07 CST 2026","Tue Jun 30 19:46:08 CST 2026","282","testcases","test_photos","TestPhotos","","","使用动态数据创建照片","验证使用随机数据创建照片"
"passed","Tue Jun 30 19:46:04 CST 2026","Tue Jun 30 19:46:04 CST 2026","281","testcases","test_login","TestPosts","","","创建帖子（数据驱动）","
        数据驱动测试：用 3 组不同数据执行同一条测试逻辑
        使用 cleanup_posts 自动清理创建的数据
        "
"passed","Tue Jun 30 19:46:11 CST 2026","Tue Jun 30 19:46:11 CST 2026","285","testcases","test_todos","TestTodos","","","创建待办（数据驱动）","POST /todos 创建待办（参数化）"
"passed","Tue Jun 30 19:46:00 CST 2026","Tue Jun 30 19:46:01 CST 2026","280","testcases","test_comments","TestComments","","","创建评论（数据驱动）","POST /comments 创建评论（参数化）"
